STATE ,x,y
AndraPradesh ,-101
ArunachalPradesh ,345,
Assam,311,
Bihar,97,
Chhattisgarh,-12,
Goa,-258,
Gujarat,-318,
Haryana,-176,
HimachalPradesh,-147,
JammuandKashmir,-215,
Jharkhand,86,
Karnataka,-212,
Kerala,-213,
MadyaPradesh,-135,
Maharashtra,-226,
Manipur,347,
Meghalaya,239,
Mizoram,318,
Nagaland,364,
Orissa,66,
Punjab,-197,
Rajasthan,-253,
Sikkim,176,
TamilNadu,-124,
Telagana,-102,
Tripura,277,
Uttarakhand,-89,
UttarPradesh,-40,
WestBengal,169,

























AndamanandNicobarIslands	
Chandigarh	
DadarandNagarHaveli	
DamanandDiu	
Delhi	
Lakshadeep	
Pondicherry	

