STATE,x,y
Andrapradesh ,-101,-229
Arunachalpradesh ,345,208
Assam,311,137
Bihar,97,103
Chhattisgarh,-12,-41
Goa,-258,-234
Gujarat,-318,12
Haryana,-176,217
Himachalpradesh,-147,303
Jammuandkashmir,-215,350
Jharkhand,86,27
Karnataka,-212,-269
Kerala,-213,-384
Madhyapradesh,-135,10
Maharashtra,-226,-111
Manipur,347,82
Meghalaya,239,100
Mizoram,318,30
Nagaland,364,134
Orissa,66,-63
Punjab,-197,271
Rajasthan,-253,132
Sikkim,176,170
Tamilnadu,-124,-385
Telagana,-102,-144
Tripura,277,43
Uttarakhand,-89,247
Uttarpradesh,-40,134
Westbengal,169,20
Andamanandnicobarislands,217,-317
Chandigarh,-165,255
Dadarandnagarhaveli,-344,-74
Damananddiu,-300,-75
Delhi,-152,199
Lakshadeep,-358.0,-381.0
Pondicherry,49.0,-165.0
